Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-02-22,WOTU,Seed,5800000.0,2018,2016,Bangalore,Consumables
2018-02-22,Carcrew,Seed,2000000.0,2018,2016,Mumbai,Automotive
2018-02-26,Bounce (Metro Bikes),Seed,3000000.0,2018,2016,Bangalore,Automotive
2018-02-26,MyLoanCare,Series A,65000000.0,2018,2016,Gurgaon,Marketing
2018-02-26,Stelis Biopharma,Series B,100000000.0,2018,2016,Bangalore,Healthcare
2018-02-26,Medikabazaar,Series A,5000000.0,2018,2016,Mumbai,E-Commerce
2018-02-27,Square Off,Seed,1100000.0,2018,2016,Mumbai,Technology
2018-02-28,Shopkirana,Venture - Series Unknown,2000000.0,2018,2016,Indore,Consumer Services
2018-03-02,Flyrobe,Series B,264000000.0,2018,2016,Mumbai,Lifestyle
2018-03-02,Keito,Seed,5800000.0,2018,2016,Pune,Technology
2018-03-02,Pipa+Bella,Series A,1000000.0,2018,2016,Mumbai,Consumer Services
2018-03-03,Scale Labs,Seed,1000000.0,2018,2016,Delhi,E-Commerce
2018-03-04,LT Foods,Seed,1400000000.0,2018,2016,New Delhi,Consumables
2018-03-04,Hippo Video,Seed,5800000.0,2018,2016,Chennai,Media/Entertainment
2018-03-04,Mombay,Seed,7500.0,2018,2016,Mumbai,Consumables
2018-03-04,CollPoll,Seed,5800000.0,2018,2016,Bangalore,Education
2018-03-05,Generico,Series A,5800000.0,2018,2016,Mumbai,Automotive
2018-03-06,Racetrack,Seed,342000000.0,2018,2016,Bangalore,Media/Entertainment
2018-03-06,Quikr,Seed,550000000.0,2018,2016,Bangalore,Logistics
2018-03-06,Fixpocket,Seed,250000.0,2018,2016,Ahmedabad,Media/Entertainment
2018-03-08,Eunimart,Seed,5800000.0,2018,2016,Hyderabad,Consumer Services
2018-03-09,Hush - Speak Up. Make Work Better,Seed,45000000.0,2018,2016,Bangalore,Hospitality
2018-03-09,DronaHQ,Angel,500000.0,2018,2016,Mumbai,Technology
2018-03-09,Planys Technologies,Series A,140200000.0,2018,2016,Chennai,Energy
2018-03-10,Cricnwin,Seed,5800000.0,2018,2016,Gurgaon,Gaming
2018-03-10,CoinGeto,Seed,120000000.0,2018,2016,Delhi,FinTech
2018-03-10,Magicpin,Series C,1410000000.0,2018,2016,Gurgaon,Consumer Services
2018-03-12,Lendbox,Seed,60000000.0,2018,2016,Delhi,Finance
2018-03-14,Jagaran Microfin,Seed,550000000.0,2018,2016,Kolkata,Finance
2018-03-15,Chaayos,Series B,810000000.0,2018,2016,New Delhi,Consumables
2018-03-16,Togedr,Venture - Series Unknown,5800000.0,2018,2016,Gurgaon,Hospitality
2018-03-16,Spinny,Series A,11000000.0,2018,2016,Gurgaon,Consumer Services
2018-03-16,Locus.sh,Series A,4000000.0,2018,2016,Bangalore,Logistics
2018-03-18,MY CHIRAAG CAB,Seed,1000000.0,2018,2016,Jaipur,Logistics
2018-03-18,Manjushree Technopack,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-03-18,TheCollegeFever,Seed,250000.0,2018,2016,Bangalore,Marketing
2018-03-19,NewsBytes,Seed,1000000.0,2018,2016,Gurgaon,Media/Entertainment
2018-03-20,Backpacker Panda Holidays Private Limited,Series A,1400000.0,2018,2016,Pune,Logistics
2018-03-20,Vistara,Seed,-2147483648.0,2018,2016,Haryana,Technology
2018-03-20,Toppr,Series C,35000000.0,2018,2016,Mumbai,Education
2018-03-20,BUGWORKS Research India,Series A,9000000.0,2018,2016,Bangalore,Healthcare
2018-03-21,Wishfie,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-03-21,Kuvera.in,Angel,250000.0,2018,2016,Bangalore,Finance
2018-03-22,docturnal,Seed,5800000.0,2018,2016,Hyderabad,Automotive
2018-03-22,Milkbasket,Series A,7000000.0,2018,2016,Haryana,Consumables
2018-03-22,NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,2018,2016,New Delhi,Education
2018-03-23,NIRAMAI Health Analytix,Seed,6000000.0,2018,2016,Bangalore,Automotive
2018-03-23,Mintifi,Seed,2000000.0,2018,2016,Mumbai,Finance
2018-03-24,Rockmetric,Grant,5800000.0,2018,2016,Mumbai,Technology
2018-03-24,HyperXchange,Series A,1000000.0,2018,2016,Pune,E-Commerce
2018-03-24,Mamaearth,Series A,4000000.0,2018,2016,Gurgaon,Consumer Services
2018-03-24,Sukkhi Jewellery,Venture - Series Unknown,510000000.0,2018,2016,Mumbai,Lifestyle
2018-03-26,Scapic,Seed,500000.0,2018,2016,Bangalore,Technology
2018-03-26,Multibashi,Seed,10000000.0,2018,2016,Bengaluru,Education
2018-03-26,Doodhwala,Seed,2200000.0,2018,2016,Bengaluru,Consumables
2018-03-26,Inntot Technologies,Seed,5800000.0,2018,2016,Kochi,Consumer Services
2018-03-27,FreightBro,Seed,5800000.0,2018,2016,Mumbai,Logistics
2018-03-27,FoodBuddy,Seed,60000000.0,2018,2016,Belgaum,Consumables
2018-03-28,The Souled Store,Venture - Series Unknown,3000000.0,2018,2016,Mumbai,Lifestyle
2018-03-28,UnoTag,Pre-Seed,100000.0,2018,2016,Bangalore,Technology
2018-03-29,Truebil,Series A,2000000.0,2018,2016,Mumbai,Automotive
2018-04-01,Idha Skin Clinic,Seed,5000000.0,2018,2016,Bangalore City,Automotive
2018-04-01,The Ken,Series A,1500000.0,2018,2016,Bengaluru,Media/Entertainment
2018-04-02,HeyHolidays,Seed,1000000.0,2018,2016,Bangalore,Logistics
2018-04-02,Mobycy,Angel,5800000.0,2018,2016,Gurgaon,Logistics
2018-04-02,Kobster,Seed,5800000.0,2018,2016,Chennai,E-Commerce
2018-04-02,ShareChat,Series C,99230000.0,2018,2016,Bangalore,Media/Entertainment
2018-04-03,Avail Finance,Series A,17200000.0,2018,2016,Bangalore,FinTech
2018-04-03,Hey Deedee,Seed,33000000.0,2018,2016,Mumbai,Logistics
2018-04-05,Haazri,Seed,12500000.0,2018,2016,Mumbai,Consumables
2018-04-06,Forum for Innovation Incubation Research and Entrepreneurship,Grant,102500000.0,2018,2016,Margão,Other
2018-04-06,Licious,Series C,25000000.0,2018,2016,Bengaluru,Consumables
2018-04-06,PerkFinance,Seed,900000.0,2018,2016,Bangalore,FinTech
2018-04-06,myHQ,Series A,500000.0,2018,2016,Delhi,Education
2018-04-07,Charcoal Eats,Seed,50000000.0,2018,2016,Mumbai,Consumables
2018-04-09,RevFin,Seed,5800000.0,2018,2016,Delhi,Finance
2018-04-10,Parkwheels,Seed,12000000.0,2018,2016,Haryana,Automotive
2018-04-10,Emflux Motors,Seed,364846.0,2018,2016,Bengaluru,Energy
2018-04-11,Cellerite Systems,Seed,5800000.0,2018,2016,Hyderabad,Automotive
2018-04-12,DheeYantra Research Labs,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-13,GamingMonk,Series A,40000000.0,2018,2016,New Delhi,Gaming
2018-04-14,ZestMoney,Series A,13400000.0,2018,2016,Bangalore,FinTech
2018-04-15,Cleardekho,Venture - Series Unknown,5800000.0,2018,2016,Ghaziabad,Lifestyle
2018-04-15,Cell Propulsion,Seed,7000000.0,2018,2016,Bangalore,Automotive
2018-04-16,Syncremedies Healthcare Pvt Ltd,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-04-18,Disprz,Seed,400000.0,2018,2016,Chennai,Education
2018-04-19,Enakshi,Seed,8000000.0,2018,2016,Ahmedabad,Lifestyle
2018-04-20,Entropik Technology,Seed,1100000.0,2018,2016,Bengaluru,Technology
2018-04-20,Survaider,Seed,500000.0,2018,2016,Bengaluru,Marketing
2018-04-20,PivotRoots,Series A,5800000.0,2018,2016,Mumbai,Consumer Services
2018-04-21,Nivesh.com,Seed,30000000.0,2018,2016,Noida,Marketing
2018-04-22,Sattviko,Angel,5800000.0,2018,2016,New Delhi,Consumables
2018-04-23,Freightwalla,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-04-23,BIGPHI TECHNOLOGIES PVT. LTD.,Angel,900000.0,2018,2016,Bangalore,Lifestyle
2018-04-24,Kriger Campus,Seed,30000000.0,2018,2016,New Delhi,Education
2018-04-24,FarmersFZ,Seed,5800000.0,2018,2016,Kochi,Agriculture
2018-04-25,Sleepy Owl Coffee,Seed,35000000.0,2018,2016,New Delhi,Consumables
2018-04-27,LetsTransport,Series B,1000000000.0,2018,2016,Bangalore,Logistics
2018-04-28,Zomato,Seed,210000000.0,2018,2016,Gurgaon,Consumables
2018-04-28,Propelld,Seed,250000.0,2018,2016,Bengaluru,FinTech
2018-04-28,Swiggy,Series H,1000000000.0,2018,2016,Bangalore,Consumables
2018-04-30,Cardekho,Series C,75000000.0,2018,2016,Gurgaon,Automotive
2018-05-01,HealthAssure,Seed,1000000.0,2018,2016,Mumbai,Automotive
2018-05-01,CashRich,Seed,1000000.0,2018,2016,Mumbai,FinTech
2018-05-01,Colive.in,Seed,1800000.0,2018,2016,Bangalore,Consumer Services
2018-05-01,RupeeCircle,Seed,40000000.0,2018,2016,Mumbai,Finance
2018-05-03,ORO Wealth,Series A,1600000.0,2018,2016,Mumbai,Finance
2018-05-04,StockEdge,Seed,1100000.0,2018,2016,Kolkata,Marketing
2018-05-05,Rocketium,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-05-05,ZunRoof,Angel,16600000.0,2018,2016,Gurgaon,Consumer Services
2018-05-05,Satvacart,Seed,5800000.0,2018,2016,Gurgaon,Consumables
2018-05-05,MedCords,Seed,26400000.0,2018,2016,Pune,Wellness/Beauty
