Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2019-01-03,Seekify,2019,Delhi,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding,2019,Technology
2019-01-12,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E,2019,Consumables
2019-01-15,Cuemath,2013,Bangalore,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series A,2019,Education
2019-01-17,HappyEasyGo,2017,Gurugram,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019,Logistics
2019-01-21,Springboard,2013,Bangalore,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Post series A,2019,Education
2019-01-23,Zebu,2015,Bangalore,Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed round,2019,Other
2019-01-24,TapChief,2016,Bangalore,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre series A,2019,Technology
2019-01-25,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019,Consumables
2019-01-27,Pumpkart,2014,Chandigarh,KS Bhatia,Dinesh Dua,6000000.0,Series A,2019,E-Commerce
2019-01-28,DROR Labs Pvt. Ltd,2018,Delhi,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,6000000.0,Series A,2019,Technology
2019-01-29,Bombay Shaving,2015,Bangalore,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Series A,2019,E-Commerce
2019-01-31,Pristyn Care,2018,Bangalore,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019,Automotive
2019-02-04,Ola,2010,Bangalore,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Series A,2019,Logistics
2019-02-15,SalaryFits,2015,Bangalore,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Series A,2019,FinTech
2019-02-24,HungerBox,2015,Bangalore,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019,Consumables
2019-02-25,eJOHRI,2015,Mumbai,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre series A,2019,Other
2019-02-28,Froogal,2015,Hyderabad,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre series A,2019,Marketing
2019-03-06,Ecozen,2015,Pune,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019,Technology
2019-03-11,Origo,2010,Gurugram,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Series A,2019,Technology
2019-03-11,CarDekho,2008,Jaipur,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019,Automotive
2019-03-22,Shadowfax,2015,Bangalore,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019,Logistics
2019-04-01,FlytBase,2015,Pune,Nitin Gupta,Undisclosed,6000000.0,Series A,2019,Technology
2019-04-01,Afinoz,2015,Noida,Rachna Suneja,Fintech innovation lab,6000000.0,Series A,2019,FinTech
