Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2020-01-14,VerSe Innovation,2007,Bangalore,Virendra Gupta,Google,100000000.0,Series A,2020,Technology
2020-01-14,DaveAI,2016,Bangalore,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,3000000.0,Series A,2020,Technology
2020-01-14,LIVSPACE,2014,Bangalore,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Debt,2020,Other
2020-01-14,Blowhorn,2014,Bangalore,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,3000000.0,Series A,2020,Logistics
2020-01-14,Farmers Fresh Zone,2015,Kochi,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",470000.0,Series A,2020,Technology
2020-01-14,Fourth Partner Energy,2010,Bangalore,Saif Dhorajiwala,ResponsAbility Investments AG,15000000.0,Series A,2020,Energy
2020-01-15,Max wholesale,2016,New Delhi,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,Series A,2020,E-Commerce
2020-01-15,Prescribe,2019,Chennai,Nived Narayanan,Titan Capital,100000.0,Series A,2020,Healthcare
2020-01-16,Rusk Media,2019,Delhi,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",3000000.0,Seed Round,2020,Media/Entertainment
2020-01-16,Univariety,2015,Hyderabad,Jaideep Gupta,Info Edge,1100000.0,Series A,2020,Education
2020-01-16,Techbooze,2016,Bangalore,Mr. Subhashis Kar,Space Capital,15000000.0,Series A,2020,Other
2020-01-16,ShipsKart,2018,New Delhi,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,2020,E-Commerce
2020-01-16,Precily,2017,California,Bharath Rao,"Windrose Capital, Anil Advani",3000000.0,Seed,2020,Technology
2020-01-17,GullyBuy Software,2019,Pune,Shirish Deodhar,Venture Catalysts,543000.0,Pre-series A,2020,Technology
2020-01-17,Coralogix,2013,San Francisco,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B,2020,Technology
2020-01-17,Janani,2020,Bangalore,Nilay Mehrotra,9Unicorns,200000.0,Pre-seed,2020,Other
2020-01-18,Capital Float,2013,Bangalore,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000.0,Series A,2020,FinTech
2020-01-18,Rupifi,2020,Bangalore,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000.0,Seed Round,2020,FinTech
2020-01-18,Generic Aadhaar,2016,Bangalore,Arjun Deshpande,Ratan Tata,3000000.0,Series A,2020,Other
2020-01-19,MetaMerphoSys,2016,Pune,"Amit Naik, Kewal Vargante",Good Capital,3000000.0,Pre-series A,2020,Finance
2020-01-20,Habbit Health,2019,Delhi,Dhruv Bhushan,"3one4 Capital, Angel list India",3000000.0,Pre seed Round,2020,Agriculture
2020-01-20,WayCool,2015,Chennai,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",5060000.0,Series C,2020,Technology
2020-01-20,EzeRx,2018,Kolkata,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000.0,Seed,2020,Technology
2020-01-20,Shuttl,2015,Delhi,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,7975700.0,Series C,2020,Logistics
2020-01-20,3one4 Capital,2016,Bangalore,"Pranav Pai, Siddarth Pai",Venture Catalysts,100000000.0,Series A,2020,Finance
2020-01-21,NirogStreet,2016,Gurugram,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Pre-series A,2020,Other
2020-01-22,Ola Electric,2016,Bangalore,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000.0,Series A,2020,Logistics
2020-01-22,Odwen,2018,Noida,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,Series A,2020,Other
2020-01-23,NewsReach,2018,Gujarat,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020,Media/Entertainment
2020-01-23,Driftly Electric,2016,Bangalore,Sneha Roy,MG Motor India,3000000.0,Series A,2020,Automotive
2020-01-23,Skylo,2017,Bangalore,Trivedi,SoftBank Group,103000000.0,Series B,2020,Technology
2020-01-23,FabAlley,2012,Noida,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,1100000.0,Series A,2020,E-Commerce
2020-01-23,Earth Energy EV,2017,Mumbai,Rushi Shenghani,LR Joshi,3000000.0,Seed Round,2020,Automotive
2020-01-24,Blackbuck,2015,Bangalore,Rajesh Yabaji,Trifecta Venture,3000000.0,Series A,2020,Logistics
2020-01-24,Probus Smart Things,2016,Delhi,"Anand Singh, Ankit Vaish",Unicorn India Ventures,3000000.0,Seed Round,2020,Technology
2020-01-26,Entri,2017,Kochi,Mohammed Hisamuddin,Good Capital,1700000.0,Pre-series A,2020,Education
2020-01-26,Instoried,2016,Delhi,Sharmin Ali,"SOSV, Chinaccelerator",3000000.0,Series A,2020,Technology
2020-01-27,Trell,2016,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Pre-series A,2020,E-Commerce
2020-01-27,Altor,2016,Bangalore,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,3000000.0,Series A,2020,Technology
2020-01-28,Zoomcar,2013,Bangalore,"Greg Moran, David Back",Sony Innovation Fund,30000000.0,Series D,2020,Logistics
2020-01-28,FlexiLoans,2016,Mumbai,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000.0,Debt,2020,FinTech
2020-01-28,BuildPan,2019,Indore,"Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US",3000000.0,Seed Round,2020,Technology
2020-01-29,MoEngage,2016,Bangalore,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000.0,Series C,2020,Marketing
2020-01-29,Krishitantra,2017,Hyderabad,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000.0,Seed,2020,Technology
2020-01-29,Vistaar Finance,2010,Bangalore,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,Series A,2020,Finance
2020-01-29,Arzooo,2016,Bangalore,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",3000000.0,Series A,2020,Technology
2020-01-30,PurohitJi,2016,Bangalore,Nakerikanti Harish,Bhadresh,3000000.0,Series A,2020,Other
2020-01-30,Wobot Intelligence,2016,Delhi,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Pre-series A,2020,Technology
2020-01-30,SucSEED Indovation,2016,Hyderabad,Vikrant Varshney,Venture Catalysts,5000000.0,Series A,2020,FinTech
2020-01-31,Teachmint,2020,Bangalore,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000.0,Seed,2020,Education
2020-01-31,QuaQua,2016,Hyderabad,"Purav Shah, Sandesh Reddy",Anthill Ventures,1000000.0,Series A,2020,Logistics
2020-02-01,AjnaLens,2014,Thane,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge,2020,Technology
2020-02-01,Wysh,2019,Hyderabad,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,2000000.0,Series A,2020,Other
2020-02-02,Biddano,2016,Mumbai,Talha Shaikh,Windrose Capital,600000.0,Pre-series A,2020,Automotive
2020-02-02,WorkIndia,2016,Bangalore,Kunal Patil,Xiaomi,6000000.0,Series A,2020,Technology
2020-02-03,Bizlog,2016,Bangalore,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000.0,Series A,2020,Logistics
2020-02-04,SquadStack,2014,San Francisco,"Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000.0,Series A,2020,Technology
2020-02-04,Origo,2010,Gurugram,"Sunoor Kaul,",Northern Arc Capital,4000000.0,Debt,2020,Technology
2020-02-04,Svami,2016,Mumbai,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000.0,Series A,2020,Consumables
2020-02-04,SmarterBiz,2014,Bangalore,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre-series A,2020,Technology
2020-02-05,ShopX,2015,Bangalore,"Amit Sharma, Apoorva Jois",Li and Fung,1410000.0,Series A,2020,E-Commerce
2020-02-07,Gram Cover,2016,Noida,Jatin Singh,"EMVC, Flourish, Omidyar Network India",3000000.0,Pre-series A,2020,FinTech
2020-02-07,Samadhan,2018,Delhi,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,3000000.0,Seed Round,2020,Finance
2020-02-08,AdonMo,2017,Bangalore,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,3000000.0,Series A,2020,Other
2020-02-08,Fanspole,2015,Thane,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",3000000.0,Pre-Seed,2020,Media/Entertainment
2020-02-08,LogiNext,2016,Bangalore,"Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital",39000000.0,Series B,2020,Logistics
2020-02-08,SignalX,2018,Hyderabad,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,Technology
2020-02-08,Glance,2016,Bangalore,Naveen Tewari,Mithril Capital Management.,145000000.0,Series A,2020,Technology
2020-02-09,BharatAgri,2017,Pune,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",3000000.0,Pre-series A,2020,Technology
2020-02-09,DailyHunt,2009,Bangalore,Virendra Gupta,Lupa India,35600000.0,Series A,2020,Media/Entertainment
2020-02-10,Harappa Education,2016,New Delhi,Pramath Raj Sinha,James Murdoch-led Lupa Systems,3000000.0,Series A,2020,Education
2020-02-10,Crimson Healthcare,2015,Delhi,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,229800.0,Series A,2020,Technology
2020-02-10,Swipez,2014,Pune,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Series A,2020,FinTech
2020-02-10,Pariksha,2015,Pune,"Karanvir Singh, Utkarsh Bagri, Vikram Shekhawat, Deepak Choudhary","INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",3000000.0,Pre-series A,2020,Education
2020-02-10,Servify,2016,Mumbai,Sreevathsa Prabhakar,Barkawi,250000.0,Series A,2020,Technology
2020-02-10,High Street Essentials,2012,New Delhi,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",2743000.0,Pre series C,2020,E-Commerce
2020-02-11,ParkSmart,2019,Delhi,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,198000.0,Series A,2020,Technology
