Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2021-01-01,Flo Mobility,2019,Bangalore,"Manesh Jain, Mohan Kumar","DevX Venture Fund, Blume Founder Fund",400000.0,Seed,2021,Automotive
2021-01-01,Velocity,2020,Bangalore,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,20000000.0,Series A,2021,Finance
2021-01-01,MoEngage,2014,Bangalore,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,30000000.0,Series D,2021,Technology
2021-01-02,Riskcovry,2018,Bangalore,"Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",5000000.0,Series A,2021,Technology
2021-01-02,AgNext,2016,Chandigarh,Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A,2021,Technology
2021-01-03,Pee Safe,2013,Gurugram,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-series B,2021,Automotive
2021-01-04,UrbanKisaan,2017,Hyderabad,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,169032154.0,Seed,2021,Consumables
2021-01-04,Smart Joules,2014,New Delhi,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,Seed,2021,Energy
2021-01-04,Evenflow Brands,2020,Mumbai,"Utsav Agarwal, Pulkit Chhabra",Inflection Point Ventures,500000.0,Seed,2021,Consumer Services
2021-01-06,Velocity,2020,Bangalore,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,1300000.0,Seed,2021,FinTech
2021-01-06,Koo,2020,Bangalore,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",30000000.0,Series B,2021,Media/Entertainment
2021-01-07,SMOOR,2008,Bangalore,Vimal Sharma,Klub,169032154.0,Seed,2021,Consumables
2021-01-07,Vedantu,2011,Bangalore,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, Anand Prakash",ABC World Asia,100000000.0,Series E,2021,Other
2021-01-07,EduFund,2020,Gujarat,"Arindam Sengupta, Eela Dubey",View Trade Holding Corp,300000.0,Pre-seed,2021,FinTech
2021-01-07,upGrad,2015,Mumbai,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,Seed,2021,Education
2021-01-08,Neeman,2017,Hyderabad,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A,2021,Consumer Services
2021-01-08,The Indus Valley,2016,Chennai,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels",1100000.0,Seed,2021,Consumer Services
2021-01-08,Ati Motors,2017,Bangalore,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000.0,Pre-series A,2021,Automotive
2021-01-09,HealthPlix,2014,Bangalore,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",13500000.0,Series B,2021,Automotive
2021-01-09,IBSFINtech,2006,Bangalore,"C M Grover, TM Manjunath",Inflection Point Ventures,1000000.0,Pre-series A,2021,Technology
2021-01-09,Akudo,2020,Bangalore,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",169032154.0,Pre-seed,2021,FinTech
2021-01-10,SupplyNote,2015,Noida,"Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,1200000.0,Pre-series A,2021,Consumables
2021-01-10,Arbo Works,2021,California,Caesar Sengupta,Sequoia Capital,169032154.0,Seed,2021,Technology
2021-01-10,Camp K12,2010,Gurugram,Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Series A,2021,Education
2021-01-11,OneCode,2020,Bangalore,"Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",5000000.0,Seed,2021,Technology
2021-01-11,Cellestial,2019,Hyderabad,Siddhartha Durairajan,"Gurj Aujla, Ashik K",500000.0,Pre-series A,2021,Other
2021-01-11,AutomataPi,2017,Powai,"Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,400000.0,Seed,2021,Technology
2021-01-12,BimaPe,2020,Mumbai,Rahul Mathur,"iSeed, Titan Capital",500000.0,Pre-seed,2021,FinTech
2021-01-12,Cell Propulsion,2016,Bangalore,"Nakul Kukar, Paras Kaushal",growX ventures,2000000.0,Seed,2021,Energy
2021-01-15,Biocon Biologics,1978,Bangalore,Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000.0,Seed,2021,Technology
2021-01-15,Zetwerk,2018,Bangalore,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",120000000.0,Series D,2021,E-Commerce
2021-01-15,Wiz Freight,2020,Chennai,"Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed,2021,Logistics
2021-01-15,Juicy Chemistry,2014,Coimbatore,"Megha, Pritesh Asher.",Akya Ventures,6300000.0,Series A,2021,Automotive
2021-01-15,Pocket Aces,2013,Mumbai,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",2000000.0,Seed,2021,Media/Entertainment
2021-01-15,CredFlow,2020,New Delhi,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021,FinTech
2021-01-16,LoanKuber,2016,New Delhi,Saurabh Nagpal,Inflection Point Ventures,1200000.0,Pre-series A,2021,Other
2021-01-16,Lavado,2016,Mumbai,Disha Jain,Ashish Shah,169032154.0,Seed,2021,Consumer Services
2021-01-16,Agnikul,2017,Chennai,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Artha India Ventures, Sriram Krishnan",11000000.0,Series A,2021,Technology
2021-01-16,Rockclimber,2019,Bangalore,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000.0,Seed,2021,Consumables
2021-01-17,CredAvenue,2017,Chennai,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",90000000.0,Series A,2021,FinTech
2021-01-17,Cora Health,2020,Bangalore,"Shrijit Venkatesh, Snigdha Kumar",Inflection Point Ventures,169032154.0,Seed,2021,Automotive
2021-01-17,BharatPe,2018,New Delhi,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Debt,2021,FinTech
2021-01-18,FloCareer,2018,Bangalore,"Mohit Jain,  Mehul Bhatt",Data Point Capital,5700000.0,Series A,2021,Technology
2021-01-18,F5,2018,New Delhi,"Raghav Arora, Lalit Aggarwal",Auxano Capital,600000.0,Pre-series A,2021,Consumer Services
2021-01-18,India Quotient,2012,Mumbai,"Anand Lunia, Madhukar Sinha",Inflection Point Ventures,64000000.0,Seed,2021,Finance
2021-01-19,MentorKart,2018,New Delhi,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000.0,Seed,2021,Consumer Services
2021-01-19,Nestroots,2016,Gurugram,Chhavi Singh,We Founder Circle,100000.0,Seed,2021,Lifestyle
2021-01-19,Curefit,2016,Bangalore,"Mukesh Bansal, Ankit",Zomato,145000000.0,Seed,2021,Wellness/Beauty
