Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-02-15,Drivezy,Seed,100000000.0,2018,2016,Bangalore,Automotive
2018-02-15,MCaffeine,Seed,32000000.0,2018,2016,Mumbai,Consumer Services
2018-02-15,Duroflex Pvt. Ltd.,Seed,22000000.0,2018,2016,Alleppey,Consumer Services
2018-02-16,UrbanClap,Series D,50000000.0,2018,2016,Delhi,Technology
2018-02-17,Sattviko,Angel,5800000.0,2018,2016,New Delhi,Consumables
2018-02-18,FreightBro,Seed,5800000.0,2018,2016,Mumbai,Logistics
2018-02-18,Magic Crate,Seed,5800000.0,2018,2016,Bangalore,Education
2018-02-18,ONGO Framework,Angel,1000000.0,2018,2016,Hyderabad,E-Commerce
2018-02-19,Zyla Health,Seed,5800000.0,2018,2016,New Delhi,Hospitality
2018-02-19,Tripshelf,Seed,16000000.0,2018,2016,Kalkaji,Hospitality
2018-02-20,Mombay,Seed,7500.0,2018,2016,Mumbai,Consumables
2018-02-20,Paymatrix,Seed,100000.0,2018,2016,Hyderabad,Automotive
2018-02-21,SBI Life,Seed,742000000.0,2018,2016,Mumbai,Finance
2018-02-23,Dee Dee Labs,Seed,5800000.0,2018,2016,Pune,Automotive
2018-02-24,WheelsEMI,Series B,14000000.0,2018,2016,Pune,Automotive
2018-02-25,INDwealth,Seed,-2147483648.0,2018,2016,Gurgaon,Finance
2018-02-25,Racetrack,Seed,342000000.0,2018,2016,Bangalore,Media/Entertainment
2018-02-26,Medimetry,Seed,5800000.0,2018,2016,Haryana,Automotive
2018-02-27,Streak,Seed,22500000.0,2018,2016,Bangalore,Finance
2018-02-27,Spinny,Series A,11000000.0,2018,2016,Gurgaon,Consumer Services
2018-02-27,Mate Labs,Seed,550000.0,2018,2016,Bangalore,Technology
2018-03-02,Naaptol,Venture - Series Unknown,15000000.0,2018,2016,Mumbai,Consumer Services
2018-03-03,Microchip Payments,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-03-05,MySEODoc,Seed,5800000.0,2018,2016,Delhi,Marketing
2018-03-05,Streo,Seed,5800000.0,2018,2016,Gurgaon,Media/Entertainment
2018-03-05,Ola,Venture - Series Unknown,50000000.0,2018,2016,Kormangala,Logistics
2018-03-08,Picture TIme,Seed,250000000.0,2018,2016,New Delhi,Media/Entertainment
2018-03-08,Manjushree Technopack,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-03-09,Vizzbee,Pre-Seed,20000.0,2018,2016,Bhopal,Consumer Services
2018-03-10,LearnApp,Seed,20000000.0,2018,2016,Noida,Education
2018-03-10,BabyChakra,Series B,5800000.0,2018,2016,Mumbai,Automotive
2018-03-11,Stumagz,Seed,5800000.0,2018,2016,Hyderabad,Media/Entertainment
2018-03-12,Ambee,Angel,5800000.0,2018,2016,Bangalore,Automotive
2018-03-13,FabAlley,Series B,600000000.0,2018,2016,Noida,Lifestyle
